"x","y","EBOV","BDBV","BOMV","TAFV","RESTV","SUDV","MARV","LLOV","MLAV","RAVN","DEHV"
-104.5,65.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-103.5,65.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-102.5,65.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-101.5,65.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-100.5,65.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-99.5,65.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-98.5,65.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-97.5,65.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-96.5,65.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-95.5,65.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-94.5,65.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
-93.5,65.50107,1,1,NA,1,NA,1,1,1,NA,1,NA
13.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
14.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
15.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
16.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
17.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
18.5,65.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
19.5,65.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
20.5,65.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
21.5,65.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
25.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
26.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
27.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
28.5,65.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
29.5,65.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
30.5,65.50107,2,NA,NA,2,1,2,NA,2,NA,NA,NA
31.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
32.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
33.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
34.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
40.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
41.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
42.5,65.50107,1,NA,NA,1,1,1,NA,1,NA,NA,NA
43.5,65.50107,2,NA,NA,2,1,2,1,2,1,1,1
44.5,65.50107,1,NA,NA,1,NA,1,1,1,1,1,1
45.5,65.50107,1,NA,NA,1,NA,1,1,1,1,1,1
46.5,65.50107,1,NA,NA,1,NA,1,1,1,1,1,1
47.5,65.50107,1,NA,NA,1,NA,1,1,1,1,1,1
48.5,65.50107,1,NA,NA,1,NA,1,1,1,1,1,1
49.5,65.50107,1,NA,NA,1,NA,1,1,1,1,1,1
77.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
78.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
79.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
80.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
81.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
82.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
83.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
