Event ID,Spillover ID,Initial Event,Virus,Data type,Nonhuman primate,Other mammal,Human,Country,Year,Human start date,Start date,Location,Source,Date source,Latitude,Longitude,Coordinate source,Cases,Deaths,DOI
,,,SUDV,Confirmed,,,T,Uganda,2022,,9/20/22,"Ngabano Village, Madudu, Mubende District",Branda et al. 2023,Branda et al. 2023,0.6844,31.4807,Google Maps,164,55,
,,,EBOV,Confirmed,,,T,DRC,2022,,4/23/22,"Mbandaka, Equateur",CDC 2025,CDC 2025,0.025894687,18.29784905,Google Maps,5,5,
,,,EBOV,Confirmed,,,T,DRC,2022,,8/22/22,"Beni Health Zone, North Kivu Province",CDC 2025,CDC 2025,0.5047992,29.49801,RDC polygons,1,1,
,,,SUDV,Confirmed,,,T,Uganda,2025,,1/30/25,Kampala,CDC 2025,CDC 2025,0.3152,32.5816,Google Maps,14,4,
,,,MARV,Confirmed,,,T,Kenya,1980,,,"Kitum cave, Mount Elgon National Park",CDC 2025,CDC 2025,1.0455,34.75386,FMNH 215667,2,1,
,,,RAVN,Confirmed,,,T,Kenya,1987,,,"Kitum cave, Mount Elgon National Park",CDC 2025,CDC 2025,1.0455,34.75386,FMNH 215667,1,1,
,,,MARV,Confirmed,,,T,DRC,1998,,Oct-98,"Durba, Watsa Zone",Bausch et al. 2006,Bausch et al. 2006,3.1022,29.5842,Google Maps,154,128,
,,,MARV,Confirmed,,,T,Angola,2004,,4-Oct,Uige Province,CDC 2025,CDC 2025,-7.61,15.06,Google Maps,252,227,
,,,MARV,Confirmed,,,T,Uganda,2007,,,Kitaka mine,Adjemian et al. 2011,Adjemian et al. 2011,-0.1302,30.3093,FMNH 212446 locality,4,1,10.1093/infdis/jir312
,,,MARV,Confirmed,,,T,Uganda,2008,,7-Dec,"Python Cave, Maramagambo Forest",CDC 2025,CDC 2025,-0.308966,29.979447,https://www.showcaves.com/english/other/showcaves/Maramagambo.html,1,1,
,,,MARV,Confirmed,,,T,Uganda,2008,,8-Jul,"Python Cave, Maramagambo Forest",CDC 2025,CDC 2025,-0.308966,29.979447,https://www.showcaves.com/english/other/showcaves/Maramagambo.html,1,0,
,,,MARV,Confirmed,,,T,Uganda,2012,,9/3/12,"Kabale, Ibanda, Mbarara, and Kampala",Mbonye et al. 2012,Mbonye et al. 2012,-1.3505,30.0203,Google Maps,15,4,10.4314/ahs.v12i4.31
,,,MARV,Confirmed,,,T,Uganda,2014,,,Kampala,Nyakarahuka et al. 2017,Nyakarahuka et al. 2017,0.2254,32.3223,Google Maps (Mpigi Health Center IV where patient worked),1,1,10.3201/eid2306.170047
,,,MARV,Confirmed,,,T,Uganda,2017,,,"Kayamoyo Village, Kween District",Nyakarahuka et al. 2019,Nyakarahuka et al. 2019,1.459,34.621,Google Maps,4,3,10.1371/journal.pntd.0007257
,,,MARV,Confirmed,,,T,Guinea,2021,,,"Temessadou M’bokét, Guéckédou",Makanov et al. 2023,Makanov et al. 2023,8.53483,-10.2296,Google Maps,1,1,10.1371/journal.pntd.0011279
,,,MARV,Confirmed,,,T,Ghana,2022,,7/22/22,"Bekwai and Adansi North, Ashanti Region",Sah et al. 2022,Sah et al. 2022,6.391121,-1.58302,GADM polygons,3,2,10.1080/01652176.2022.2116501
,,,MARV,Confirmed,,,T,Equatorial Guinea,2023,,,"Nsok Nsomo, Kie-Ntem, Littoral, Centro Sur",Ngai et al. 2025,Ngai et al. 2025,1.9297,11.0341,Google Maps,16,12,10.3201/eid3105.241749
,,,MARV,Confirmed,,,T,Tanzania,2023,,,Goziba Island,Sibomana and Kubwimana 2023,Sibomana and Kubwimana 2023,-1.469722,32.611944,Google Maps,9,6,10.1002/iid3.980
,,,MARV,Confirmed,,,T,Rwanda,2024,,9/27/24,"Tunnel 12, Gamico Mining, Kigali",CDC 2025,CDC 2025,-1.9731,30.0278,"Google Maps (from Guardian article ""Beware of the Bat"")",66,15,10.1056/NEJMoa2415816
,,,LLOV,Local,,T,,Hungary,2019,,,Mine cavern near Mád,Kemenesi et al. 2022,Kemenesi et al. 2018,48.1922,21.276,Google Maps,NA,NA,10.1038/s41426-018-0067-4
,,,DEHV,Local,,T,,China,2016,,16-Dec,Dehong,He et al. 2024,He et al. 2024,24.4323,98.5849,Google Maps,NA,NA,10.1073/pnas.2313789121
,,,MARV,Local,,T,,Gabon,2009,,,Zadié Cave,Maganga et al. 2011,Maganga et al. 2011,0.98,13.19,Maganga et al. 2011,NA,NA,10.1093/infdis/jir358
,,,MARV,Local,,T,,Guinea,2022,,,Legon Tyo cave,Makanov et al. 2023,Makanov et al. 2023,8.61706,-10.36345,Makanov et al. 2023,NA,NA,10.1371/journal.pntd.0011279
,,,MARV,Local,,T,,Zambia,2018,,18-Sep,"Chongwe, Lusaka",Kajihara et al. 2019,Kajihara et al. 2019,-15.3328,28.679,Google Maps,NA,NA,10.3201/eid2508.190268
,,,MARV,Local,,T,,South Africa,2017,,17-Apr,"Matlapitsi Cave, Limpopo Province",Paw_ska et al. 2020,Paw_ska et al. 2020,-24.114737,30.121402,Geldenhuys et al. 2023 (10.1038/s41598-023-42938-w),NA,NA,10.3201/eid2612.202108
,,,LLOV,Local,,T,,Spain,2002,,,"Cueva del Lloviu, Asturias",Negredo et al. 2011,Negredo et al. 2011,43.501556,-5.535583,Negredo et al. 2011,NA,NA,10.1371/journal.ppat.1002304
,,,MLAV,Local,,T,,China,2015,,15-Dec,M_nglà County,Yang et al. 2019,Yang et al. 2019,22.437778,100.686111,Yang et al. 2019,NA,NA,10.1038/s41564-018-0328-y
,,,BOMV,Local,,T,,Sierra Leone,2016,,,Bombali District,Goldstein et al. 2018,Goldstein et al. 2018,9.2476,-12.1633,Google Maps,NA,NA,10.1038/s41564-018-0227-2
,,,BOMV,Local,,T,,Kenya,2019,,,Busia County,Kareinen et al. 2020,Kareinen et al. 2020,0.4347,34.2422,Google Maps,NA,NA,10.3201/eid2612.202925
,,,BOMV,Local,,T,,Kenya,2019,,,Taita Hills,Kareinen et al. 2020,Kareinen et al. 2020,-3.3831,38.3625,Google Maps,NA,NA,10.3201/eid2612.202925
,,,BOMV,Local,,T,,Guinea,2018,,,Yalenzou village,Karan et al. 2019,Karan et al. 2019,7.7116,-8.6917,Google Maps,NA,NA,10.3201/eid2509.190581
,,,BOMV,Local,,T,,Guinea,2019,,,N’Zerekore city,Karan et al. 2019,Karan et al. 2019,7.7478,-8.8253,Google Maps,NA,NA,10.3201/eid2509.190581
,,,LLOV,Local,,T,,Bosnia and Herzegovina,2022,,,Zvornik (abandoned limestone mine),Goletic et al. 2023,Goletic et al. 2023,44.3865,19.1048,Google Maps,NA,NA,10.3390/microorganisms11122892
,,,LLOV,Local,,T,,Italy,2021,,,Roosts sampled unknown but past sampling was done in Arrezo,Tóth et al. 2023,Tóth et al. 2023,43.4633,11.8796,Google Maps,NA,NA,10.1038/s41598-023-38364-7
