"species","ebov_auc","bomv_auc","bdbv_auc","tafv_auc","restv_auc","sudv_auc","mlav_auc","llov_auc","marv_auc","ravn_auc","dehv_auc","orig_species","tree_match","order","family","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","female_relative_maturity","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","relative_age_first_birth","mass_specific_production_rate","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","disected_by_mountains","glaciation","habitat_breadth_n","foraging_aerial","foraging_arboreal","foraging_ground","foraging_marine","foraging_scansorial","island_mainland","island_marine","island_landbridge","island_endemic","bio_palearctic","bio_afrotropical","bio_antarctic","bio_australasian","bio_indomalayan","bio_nearctic","bio_neotropical","bio_oceanian","iucn_forest","iucn_savanna","iucn_shrubland","iucn_grassland","iucn_wetlands","iucn_rocky","iucn_caves","iucn_desert","iucn_marineneritic","iucn_marineoceanic","iucn_marinedeep","iucn_marineintertidal","iucn_marinecoastal","iucn_artificialterr","iucn_artificialaquatic","iucn_introducedveg","min_aridity_index","mean_aridity_index","perc80_aridity_index","relative_wing_loading","aspect_ratio","median_aggregation_size","migration","mixed_species_association_n","cave_roost","cavity_roost","foliage_roost","generalist_roost","iucn_moistforest","iucn_moistsavanna","pco_1","pco_2","pco_3","pco_4","pco_5","pco_6","pco_7","pco_8","pco_9","pco_10","pco_11","pco_12","pco_13","pco_14","pco_15","pco_16","pco_17"
"Molossus rufus",312.6448512,236.3974253,351.5595773,339.996141,388.8705184,293.9297807,346.9046543,332.3732564,309.3105945,309.7066226,307.8148818,"Molossus rufus","Molossus rufus","Chiroptera","Molossidae",25,0.493,93.5,NA,3191.61,NA,322.946,0.101185922,NA,386.512,91.509,NA,1.011,1.145,349.301,NA,52.75,NA,1498.731,0.121102516,NA,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,NA,NA,NA,NA,NA,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.241667209,1.128859238,1.517693164,76.51745,11.1,265,NA,NA,0,0,0,1,1,0,31.80137986,-14.41470562,28.9704715,-9.273224923,30.24199716,-14.10590877,-5.913691406,-7.86971513,9.604438736,2.258900338,-4.620010928,4.863273101,0.130098288,0.422858001,-8.054065862,-0.554061333,0.727721115
"Erophylla bombifrons",130.2734414,145.9913934,142.2520788,268.9045604,106.0173798,397.7758526,112.9985552,184.7934484,175.4922241,175.5765391,161.6632007,"Erophylla bombifrons","Erophylla bombifrons","Chiroptera","Phyllostomidae",16.1,0.576,75.149,47.11,4540.443,NA,499.464,0.110003363,NA,634.855,136.98,NA,1,1,345.228,4.5,60.88,NA,2118.557,0.13982226,0.279503106,NA,NA,0,2,NA,NA,40,0,60,40,0,0,0,0,0,30,30,0,0,3,2,1,0,0,0,1,NA,NA,NA,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.531798649,1.084059433,1.364391013,37.74412858,6.230000005,NA,NA,NA,NA,NA,NA,NA,0,0,18.82773313,-47.99002433,-19.35113072,10.57973558,-23.43209589,-11.56916246,-8.715361124,-11.24205145,7.69289858,-8.258813908,-0.187952064,-7.232083791,-6.132493813,-4.180646374,1.158181111,-2.09166192,-2.452786178
"Macrotus waterhousii",173.8301641,143.4407549,151.1825949,285.9676835,124.8511653,269.9092756,121.0075306,179.790128,170.1634317,170.2911759,156.5907477,"Macrotus waterhousii","Macrotus waterhousii","Chiroptera","Phyllostomidae",16.135,8.643,62.68,51.64,3802.083,91.32,91.32,0.024018413,NA,334.84,243.52,NA,1,1.895,226.195,0.59,30.44,NA,1529.276,0.088067515,0.069293461,NA,NA,0,2,NA,NA,50,0,50,50,0,0,0,0,0,50,0,0,0,2,2,1,0,0,0,1,1400,NA,NA,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.117401943,0.732316262,1.035597037,34.46791329,8.999999991,300.0000002,NA,4.999999999,0,0,0,1,0,0,12.5300155,-41.82097609,-21.2926449,1.438614666,-20.53112912,-21.11516993,0.391397007,-19.04911247,-2.199066884,-8.770388766,3.145534875,-5.19632751,7.025742192,9.442133176,2.762242782,-1.212825881,11.06068674
"Pipistrellus coromandra",37.42920846,33.05723074,10.38733397,42.98916249,11.10785955,34.42934793,12.74584843,50.01181634,66.37021628,66.36884593,63.53701028,"Pipistrellus coromandra","Pipistrellus coromandra","Chiroptera","Vespertilionidae",4.59,0.105,55.195,30.5,1282.492,NA,215.601,0.16811099,NA,316.06,80.334,NA,1.4,1.536,322.176,NA,45.086,NA,1361.772,0.246442083,NA,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,2769,100,2669,NA,NA,NA,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.404647928,1.503996807,1.558638004,NA,NA,NA,0,NA,NA,NA,NA,NA,1,0,32.99513642,34.86424741,-25.29721405,11.32676717,7.125136155,1.343808704,2.619006548,-3.69980625,5.871952809,13.50452199,9.612496681,-7.822981603,1.040136326,-0.03227204,1.421923219,0.011968192,0.864889455
"Scotophilus viridis",267.2238136,172.2090814,264.5712998,362.0517237,275.2098863,325.2197541,247.9011449,251.5782881,233.3403941,233.3511129,225.3761275,"Scotophilus viridis nigritellus","Scotophilus viridis","Chiroptera","Vespertilionidae",19.415,0.593,97.283,NA,6099.418,NA,529.331,0.086783854,NA,662.808,185.3,NA,2,1,358.85,NA,65.129,NA,2241.684,0.108667417,NA,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,0,NA,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.385486212,0.679985836,1.12282783,53.63772991,5.9,NA,NA,NA,0,1,0,0,0,1,36.49861865,24.65009273,8.960065389,-7.49977273,-15.8939657,13.14908612,13.70680446,-13.11098287,11.84343591,4.908041862,-5.308651679,8.038618847,1.19304122,0.124717942,7.171623028,1.06761559,-0.641194072
"Nycteris hispida",266.4436181,178.1613806,261.0036715,360.7194098,249.3016168,376.7944653,278.9652641,299.0273045,274.8208155,274.8802662,270.8331653,"Nycteris hispida","Nycteris hispida","Chiroptera","Nycteridae",7.98,0.284,69.986,38.99,3978.116,NA,364.79,0.091699186,NA,416.679,91.24,NA,0.995,1.5,283.56,NA,61.013,NA,1609.226,0.104742798,NA,NA,NA,0,2,NA,NA,80,20,0,80,10,10,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,0,NA,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123971819,0.60896718,0.793889259,27,4.799999996,10.5,NA,0,NA,NA,NA,NA,1,1,23.5548143,-46.67373149,4.415023932,5.889568096,21.40905185,12.88385962,10.02172218,3.457836614,-7.145424825,-1.335484293,2.826978035,-0.964958771,-1.232320905,-2.350315446,3.213139287,-14.09239657,-0.2594945
"Taphozous longimanus",202.787216,107.749493,185.9847138,317.3948327,190.9704724,398.8040044,205.9082627,208.9787858,194.7931177,194.8344754,179.6777738,"Taphozous longimanes","Taphozous longimanus","Chiroptera","Emballonuridae",25.11,0.47,81.308,58.49,2894.502,169.16,169.16,0.058441832,NA,425.83,107.22,NA,0.99,2,248.124,5.52,22.13,12,1227.488,0.147116844,0.435268817,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,1,1200,0,1200,1,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1.007626076,1.007626076,1.007626076,58.47949759,9.800000007,11,NA,NA,0,0,0,1,1,0,24.71018205,-43.41314417,7.761669534,3.978774186,26.15299505,12.13049367,12.78313904,-0.042979562,-8.146472367,-3.659831627,4.266167322,-3.678885712,-0.970137361,-1.51826245,6.275575489,-4.620444193,-1.669635631
"Rhinolophus shortridgei",183.1467253,100.0279155,144.928039,285.9782465,194.504674,388.8625261,153.1806908,208.9787858,194.7931177,194.8344754,179.6777738,"Rhinolophus shortridgei","Rhinolophus shortridgei","Chiroptera","Rhinolophidae",5.46,0.219,57.785,NA,5340.336,NA,605.92,0.113461026,NA,710.308,101.312,NA,1,1.011,364.249,NA,56.222,NA,2220.355,0.13300811,NA,NA,NA,1,2,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,0,0,1,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-70.09390723,9.201457099,19.79635906,33.85975203,-4.521101027,-8.729179186,9.79896613,2.168767029,-4.01589965,6.084959921,-12.14380019,-7.27633327,-0.18754248,-5.289864337,0.240326174,0.645589106,8.554370652
"Rhinolophus sinicus",117.7974547,68.63057595,101.0045679,211.4104016,130.9593012,269.003284,81.28215801,163.5212033,139.6713003,140.0044822,124.7159135,"Rhinolophus sinicus","Rhinolophus sinicus","Chiroptera","Rhinolophidae",10.255,0.281,64.511,NA,1825,451.11,451.11,0.247183562,NA,574.65,123.54,NA,0.99,1,349.809,2.86,59.42,11,1314.039,0.314876712,0.276099464,NA,NA,1,2,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,0,0,1,2769,500,2269,NA,NA,NA,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.872143312,1.511956492,1.877180085,36.96807127,5.319999996,NA,NA,2,1,0,0,0,1,0,-70.04936585,9.193400515,19.7966598,33.87991421,-4.530014628,-8.819370706,9.935855572,2.333775658,-3.818105884,5.934041869,-11.96538663,-7.205050922,-0.112529669,-5.294765651,0.249790256,0.646253118,8.82097285
"Nyctinomops macrotis",379.4981465,278.6796981,377.1451112,359.0524393,334.2158197,273.8621493,263.5868437,332.684799,309.6782166,310.1062677,307.473935,"Nyctinomops macrotis","Nyctinomops macrotis","Chiroptera","Molossidae",23,0.498,86.111,60.99,2767.379,106.54,106.54,0.038498522,106.54,182.64,76.1,NA,0.995,1,324.898,4.94,76.1,NA,1199.943,0.065997465,0.213708696,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,2600,0,2600,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.077003919,0.448925054,0.714100866,45.1,9.160000007,75.50000006,1,NA,0,0,0,1,1,0,31.63447595,-15.60074834,28.20769927,-8.507800798,31.67086433,-12.63759032,-4.510081703,-8.193742266,8.992602086,1.055172394,-4.465778292,3.928190091,0.084082871,0.896431638,-7.693825387,3.967057001,0.627505372
"Myotis brandtii",253.6366339,105.8690962,194.9850186,307.3260744,233.4909949,340.1700502,177.1006144,231.7641284,208.0485299,208.0492244,197.126293,"Myotis brandtii","Myotis brandtii","Chiroptera","Vespertilionidae",7,8.583,145.188,34.99,14965,NA,652.842,0.043624591,NA,769.256,158.707,NA,1.119,1.005,374.189,NA,121.456,NA,3320.725,0.051403675,NA,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,NA,NA,0,1,1,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0.42026443,1.460812418,1.728753233,NA,NA,NA,1,NA,0,0,0,1,0,0,37.91084769,19.10884323,21.52916152,-13.87945166,-19.11407022,8.367080025,5.665384418,1.568538839,-6.026235381,-7.237411316,0.117630262,-2.835339593,-1.104917326,0.327099685,-8.017945591,-1.175471284,1.043859611
"Natalus stramineus",311.2933534,266.7726721,252.4123508,325.2164403,300.1860774,342.8616391,250.1331661,297.7906984,274.7500206,274.8440615,267.9421679,"Natalus stramineus","Natalus stramineus","Chiroptera","Natalidae",4.7,10.955,46,38.86,7300,NA,503.722,0.069003014,NA,651.092,244.85,NA,1,1,354.944,1.83,50.53,4.14,2193.498,0.089190685,0.389361702,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,473,0,473,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.16917914,1.029195142,1.396108825,23.49864821,5.569999998,300.0000002,1,NA,1,0,0,0,1,0,26.98572127,-33.72778984,14.20836402,1.256835146,31.39987764,7.094926588,9.943725577,-6.415305953,-2.842869693,-7.991120166,2.173279082,-8.272504501,-1.146246761,1.065702101,4.416200388,12.17640225,-0.472886611
"Myotis bocagii",204.9125963,90.52676029,137.327928,245.980047,186.6453761,249.0707192,139.5474192,231.7641284,208.0485299,208.0492244,197.126293,"Myotis bocagii","Myotis bocagii","Chiroptera","Vespertilionidae",7.93,0.21,58.932,38,7141.368,NA,477.565,0.066873042,NA,575.62,76.635,NA,0.99,1.004,364.533,NA,56.645,NA,2185.195,0.080603604,NA,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,0,NA,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372627373,1.01313282,1.210339535,32,8.500000006,NA,NA,NA,NA,NA,NA,NA,1,1,38.01905965,19.9527556,20.48760782,-13.33078651,-19.43709052,9.893402967,7.487393112,-0.858923063,-3.71015521,-6.635510044,-1.182568367,-1.094680412,-0.906876745,0.080998835,-8.617774371,-3.014017277,0.91378285
