"species","ebov_auc","bomv_auc","bdbv_auc","tafv_auc","restv_auc","sudv_auc","mlav_auc","llov_auc","marv_auc","ravn_auc","dehv_auc","orig_species","tree_match","order","family","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","female_relative_maturity","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","relative_age_first_birth","mass_specific_production_rate","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","disected_by_mountains","glaciation","habitat_breadth_n","foraging_aerial","foraging_arboreal","foraging_ground","foraging_marine","foraging_scansorial","island_mainland","island_marine","island_landbridge","island_endemic","bio_palearctic","bio_afrotropical","bio_antarctic","bio_australasian","bio_indomalayan","bio_nearctic","bio_neotropical","bio_oceanian","iucn_forest","iucn_savanna","iucn_shrubland","iucn_grassland","iucn_wetlands","iucn_rocky","iucn_caves","iucn_desert","iucn_marineneritic","iucn_marineoceanic","iucn_marinedeep","iucn_marineintertidal","iucn_marinecoastal","iucn_artificialterr","iucn_artificialaquatic","iucn_introducedveg","min_aridity_index","mean_aridity_index","perc80_aridity_index","relative_wing_loading","aspect_ratio","median_aggregation_size","migration","mixed_species_association_n","cave_roost","cavity_roost","foliage_roost","generalist_roost","iucn_moistforest","iucn_moistsavanna","pco_1","pco_2","pco_3","pco_4","pco_5","pco_6","pco_7","pco_8","pco_9","pco_10","pco_11","pco_12","pco_13","pco_14","pco_15","pco_16","pco_17"
"Brachyphylla cavernarum",163.8123801,166.3638244,143.3667406,221.1224876,79.98412701,243.6629282,112.7427272,159.4224999,170.1634317,170.2911759,156.5907477,"Brachyphylla cavernarum","Brachyphylla cavernarum","Chiroptera","Phyllostomidae",45,1.278,81.26,66.21,5070.248,NA,383.769,0.07569038,NA,506.168,121.518,NA,1,1.5,243.325,NA,73.44,NA,2067.021,0.099831014,NA,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,70,10,0,10,1,2,1,0,0,0,1,NA,NA,NA,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.46201271,1.062953967,1.357717575,37.95651214,6.360000005,NA,NA,NA,0,0,0,1,1,0,18.68513788,-47.80462313,-19.59534923,10.26893625,-23.61884847,-12.50208464,-8.414816443,-12.08837721,7.428485017,-8.573350999,0.091000057,-7.27645535,-5.873433207,-3.944275092,1.178937443,-1.656965042,-2.054262022
"Eidolon helvum",107.9857308,88.62814284,206.6296437,298.3214248,89.42627046,294.0683791,172.6721935,266.1193079,168.4381516,168.1171051,184.5378218,"Eidolon helvum","Eidolon helvum","Chiroptera","Pteropodidae",280.43,4.433,198.79,120.5,7968.863,NA,534.874,0.067120491,NA,698.089,219.68,NA,1.04,1,364.75,49.14,62.915,112.53,1825,0.087602083,0.182240131,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,2,0,0,0,1,2000,0,2000,NA,NA,NA,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.020779007,1.12876395,1.486843773,47.11269039,6.900000004,549999.9994,1,NA,0,0,0,1,1,1,-69.61600661,3.651692616,-13.7028015,-33.43348477,6.287611115,9.121321307,-6.965165104,4.338188262,7.602359555,-3.171228888,-7.966366979,-8.678972713,8.056814492,8.150239196,1.075972266,-2.613332232,-5.242383054
"Artibeus lituratus",160.9610623,131.8749712,163.315006,300.1475182,143.5036637,297.6939228,150.4549118,211.092322,169.8059271,169.9327779,156.1626708,"Artibeus lituratus","Artibeus lituratus","Chiroptera","Phyllostomidae",46.1,1.05,93,70.33,7014.083,326.825,288.37,0.041113001,365.28,394.91,106.54,NA,1,2,219.849,8.9,15,33.79,1878.836,0.056302442,0.386117137,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,1,0,0,0,1,NA,NA,NA,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.23621292,1.306910639,1.670885842,45.31317706,6.1,10.5,0,NA,0,0,0,1,1,0,21.06242055,-50.15910647,-13.1328493,12.66691208,-14.1558529,10.63023099,-6.463358068,14.66130765,1.750039705,10.92992552,-3.509183766,8.370784522,4.617135331,3.221760067,-5.211847365,7.817688491,0.707875896
"Hipposideros armiger",274.8485756,164.3694132,233.9870829,328.700805,263.263903,334.7365959,216.544142,261.7902249,222.4802311,222.5086835,210.3326486,"Hipposideros armiger","Hipposideros armiger","Chiroptera","Hipposideridae",49.99,0.76,97.72,89.49,5024.223,NA,601.457,0.119711446,NA,751.548,137.028,NA,1.027,1.005,361.19,NA,82.464,NA,2272.723,0.149584921,NA,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,2031,100,1931,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.48534093,1.630481642,2.236671064,30.83319034,5.569999998,NA,NA,NA,0,0,0,1,1,0,-73.40242062,9.195365577,14.36584835,20.60317145,-1.073517893,8.629214882,-13.02738382,-10.69072751,-5.325699413,-1.352040112,11.34723335,8.71298878,-4.567782236,8.482799857,-0.245316364,-0.433373838,-2.740436698
"Dermanura glauca",43.56884983,85.5599084,77.57995772,189.315876,74.10539524,226.9036135,42.8795177,141.5490658,169.7777384,169.9045892,156.1589401,"Artibeus glaucus","Dermanura glaucus","Chiroptera","Phyllostomidae",12.505,0.476,47,NA,5984.62,NA,354.741,0.059275443,NA,477.199,117.278,NA,0.99,1.904,235.076,NA,36.691,NA,2102.364,0.079737561,NA,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,1,0,0,0,1,NA,NA,NA,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267906658,1.624112694,2.149416485,NA,NA,NA,NA,NA,0,0,1,0,1,0,21.25072226,-50.07743477,-12.19976593,12.40751567,-12.431404,11.7784985,-5.400401879,15.64854198,0.256642189,11.41400046,-2.853921284,8.615552726,5.981603051,4.535423426,-4.860696927,7.28215906,2.962462544
"Neoromicia nana",275.4576387,169.3987703,287.1976509,359.5087229,292.6954357,335.915196,224.3066599,304.8932864,233.3959167,233.4006501,225.4269765,"Neoromicia nanus","Neoromicia nana","Chiroptera","Vespertilionidae",3.88,0.1,57.597,29,1255.221,NA,193.337,0.154026263,NA,302.175,75.56,NA,1.86,1.5,315.979,NA,44.211,NA,1316.869,0.2407345,NA,NA,NA,1,2,NA,1,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,0,NA,NA,NA,NA,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.020744116,0.796723408,1.047019852,21.68127581,6.078357571,5.999999995,NA,NA,0,0,1,0,1,1,33.20576042,35.76947411,-27.30561046,12.43817017,8.623862296,0.195223545,1.215537309,-2.072695739,3.972231674,11.94647349,9.980131575,-8.94970692,0.572049597,-0.080899309,-2.739329748,-0.746579845,0.640133566
"Hipposideros larvatus",237.0924385,171.1999437,211.969587,295.9263128,219.4233664,318.0411396,155.35443,266.5074085,215.5388447,215.5277324,203.7956403,"Hipposideros larvatus","Hipposideros larvatus","Chiroptera","Hipposideridae",19.95,0.416,68.387,59.99,5229.055,NA,607.866,0.116247773,NA,729.087,104.246,NA,0.98,1.039,364.027,3.75,66.613,NA,2247.277,0.139429973,0.191394737,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,NA,NA,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.522989275,1.670840773,1.624375852,33.39594081,5.300000005,NA,NA,NA,0,0,0,1,1,0,-73.26889888,9.217741449,14.69634406,21.34406042,-1.227831471,8.099093842,-12.3982693,-10.48269016,-5.486500351,-1.038048784,10.80598395,8.446061634,-4.739466703,8.95576663,-0.240540248,-0.525880163,-3.769379688
"Coleura afra",249.6744729,167.0035068,207.148246,272.8693125,268.8724569,346.1780819,179.4989878,229.6781337,205.9081675,205.9232447,190.4739874,"Coleura afra","Coleura afra","Chiroptera","Emballonuridae",10.68,0.258,66,48,2383.193,365,365,0.153155871,NA,365,108.128,NA,1,1.5,282.658,NA,53.021,NA,1180.423,0.153155871,NA,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,0,NA,0,1,0,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.055794739,0.618813128,0.960825013,NA,NA,25249.99997,0,7,0,0,0,1,0,1,26.57528129,-35.40969312,13.19915225,1.862314803,30.97723328,8.096369054,10.68380989,-5.925983763,-3.752554162,-7.899777287,2.638816537,-8.280480372,-0.730162884,1.155832825,5.065351989,10.47607019,-0.326380246
"Chaerephon pumilus",197.5429728,163.1995554,169.2790743,248.2270453,174.8502689,261.763212,248.5840167,135.7952157,193.9821491,193.6095931,206.6698336,"Chaerephon pumilus str1","Chaerephon pumilus","Chiroptera","Molossidae",10.98,0.287,95,38.99,1825,140.97,140.97,0.077243836,NA,152.08,62.57,NA,1,3,249.926,3.63,24.5,NA,637.227,0.083331507,0.991803279,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,NA,NA,NA,NA,NA,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.253815524,0.687256762,0.836328905,57.91060964,8.900000007,4015.000004,0,1,0,0,0,1,1,1,35.47465408,10.27499012,26.1512209,-14.15928083,-0.094455721,-18.40642324,-17.45448612,7.607770584,1.761969812,9.17616034,-0.001050714,5.162008167,1.738510026,-0.523946702,5.248579459,-7.095222211,1.025069302
"Balantiopteryx plicata",167.4019926,118.6792944,140.1661371,287.6755977,229.879976,351.1119888,136.3187673,232.6618602,198.4450756,198.4499304,182.9988218,"Balantiopteryx plicata","Balantiopteryx plicata","Chiroptera","Emballonuridae",6.57,0.233,53,42.23,2533.589,226.19,226.19,0.089276516,NA,365,138.81,NA,0.99,1,341.832,2,58.59,NA,1173.279,0.144064408,0.301369863,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,1500,0,1500,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.068096296,0.629602917,0.787564767,NA,NA,1750.000001,NA,13,0,0,0,1,1,0,24.7559254,-43.2547523,7.958798817,3.914673425,26.43929258,11.99872165,12.8377515,-0.354414383,-8.068418278,-3.896409908,4.285575562,-3.919592454,-0.911674002,-1.418494062,6.348470537,-3.544146227,-1.713457856
"Chaerephon pumilus",221.130149,153.3602035,161.6953909,304.312298,128.4375992,240.1157539,234.1710363,162.896399,193.9821491,193.6095931,206.6698336,"Chaerephon pumilus str2","Chaerephon pumilus","Chiroptera","Molossidae",10.98,0.287,95,38.99,1825,140.97,140.97,0.077243836,NA,152.08,62.57,NA,1,3,249.926,3.63,24.5,NA,637.227,0.083331507,0.991803279,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,NA,NA,NA,NA,NA,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.253815524,0.687256762,0.836328905,57.91060964,8.900000007,4015.000004,0,1,0,0,0,1,1,1,35.47465408,10.27499012,26.1512209,-14.15928083,-0.094455721,-18.40642324,-17.45448612,7.607770584,1.761969812,9.17616034,-0.001050714,5.162008167,1.738510026,-0.523946702,5.248579459,-7.095222211,1.025069302
"Micropteropus pusillus",274.4225868,179.2934455,256.3377933,371.9505715,300.3240926,361.9723909,183.6742428,331.8783995,272.9578526,273.0971632,268.0012862,"Micropteropus pusillus","Micropteropus pusillus","Chiroptera","Pteropodidae",25.38,0.82,90.69,51.98,1669.875,202.08,202.08,0.121015046,NA,349.79,161.77,NA,0.99,2,236.209,NA,55.18,20,1241.372,0.209470769,NA,NA,NA,0,2,NA,1.5,0,0,100,0,0,0,0,0,0,90,10,0,0,1,1,1,0,0,0,1,NA,NA,NA,0,1,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197070573,0.980594068,1.249054797,45.59771293,8.7,5.499999994,NA,0,0,0,1,0,0,0,-57.48460836,-7.758586692,-23.93190627,-39.62314519,-0.399806524,-13.33700247,16.48007788,1.543135205,-9.5722615,6.505893932,4.897473011,10.52621368,-9.458547197,-11.65151285,-1.606485956,2.825710558,-3.505657744
"Epomophorus labiatus",279.595851,221.8737532,292.5756963,359.7304349,330.1060063,307.5472174,239.9392705,300.9326523,275.430214,275.5199512,271.0241422,"Epomophorus labiatus","Epomophorus labiatus","Chiroptera","Pteropodidae",69.65,1.589,94.33,73.23,5594.036,NA,516.483,0.092327436,NA,656.55,156.43,NA,0.99,2,269.438,11,151.901,NA,2081.61,0.117366066,0.312706389,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,1,0,0,0,1,2200,0,2200,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.037459917,0.700814612,1.042973786,52.25866784,5.9,NA,NA,NA,NA,NA,NA,NA,0,1,-56.98718212,-8.11254671,-24.16166835,-39.37085955,-0.882291573,-14.72220935,17.36999511,0.629690353,-10.54722077,6.444466454,5.140482183,10.77705028,-7.297163561,-11.98788296,-1.714665083,2.827924504,-4.532222826
"Desmodus rotundus",219.9718047,165.3961519,186.6815617,350.4312986,230.646367,399.7267571,266.5655719,208.9691158,192.1211505,192.1441721,182.07697,"Desmodus rotundus","Desmodus rotundus","Chiroptera","Phyllostomidae",33.18,0.882,85.5,58.29,10658,285,285,0.026740477,285,285,189,NA,1,1.26,288.777,8,274,NA,2779.798,0.026740477,0.303797468,NA,NA,0,2,NA,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,2400,NA,NA,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1.210481886,1.726114234,45.83315451,6.1,1010.000001,0,44.99999999,0,0,0,1,0,0,13.97843616,-42.70913802,-20.71842174,3.190434605,-21.0776886,-20.18629307,-0.770329815,-18.69038468,-0.977872111,-9.264170184,3.37123664,-5.458342274,5.02163978,7.387171237,2.872174563,-0.837271571,10.08613161
"Hipposideros ruber",251.4082545,198.8556104,240.1094146,305.9808374,344.0956341,354.4792676,215.4660785,240.4190679,199.4085915,199.661196,182.5901906,"Hipposideros ruber complex str1","Hipposideros ruber","Chiroptera","Hipposideridae",10.035,0.265,54.99,49.55,5670.861,656.14,581.78,0.102591123,730.5,688.32,106.54,NA,1,1,364.196,2.79,91.32,NA,2223.306,0.121378394,0.278026906,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,2300,0,2300,NA,NA,NA,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.245779787,1.191921358,1.683873151,35.43480964,6.542857143,624.9999995,NA,1,1,0,0,0,1,0,-74.26470932,9.108294181,12.64484867,16.70398689,-0.285386934,10.65963471,-15.00337522,-10.30031005,-3.472213634,-2.947817133,13.09826289,9.165988202,-4.451356693,5.079603954,-0.173330466,0.147313703,3.179674172
"Pteropus giganteus",224.1173012,105.0377158,163.7970741,291.2695478,89.07571358,289.6431682,11.15470609,177.0559232,152.2496503,152.5545499,134.9680008,"Pteropus giganteus","Pteropus giganteus","Chiroptera","Pteropodidae",824.85,7.361,269.64,177.97,14907.208,395.29,380.145,0.025500751,365,551.085,155.795,NA,0.995,1,364.75,67.66,136.04,NA,4260.476,0.036967687,0.0816169,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,1,0,0,0,1,2000,0,2000,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96114903,0.96114903,0.96114903,NA,NA,NA,1,NA,0,0,1,0,0,0,-66.81475367,1.163174572,-16.53920806,-37.71427473,5.295116574,4.625673603,-2.330002238,5.032317443,6.226009877,0.768578365,-7.076605328,-7.988061634,-7.305846884,11.26049108,1.158865268,-1.204850563,4.333825033
"Anoura geoffroyi",146.7505213,125.5814138,101.2764578,234.9448392,92.91728799,260.1473249,145.5273218,196.3091876,165.3558993,165.4997479,154.0940592,"Anoura geoffroyi","Anoura geoffroyi","Chiroptera","Phyllostomidae",15.2,0.583,73,42.66,3650,NA,500.387,0.137092329,NA,630.647,121.76,NA,1,1,365,5.1,62.5,8.24,1963.008,0.17278,0.335526316,NA,NA,0,2,NA,NA,30,0,70,30,0,0,0,0,0,30,40,0,0,3,3,1,0,0,0,1,3600,400,3200,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.241667209,1.309447821,1.73727223,51.74125703,7.199999993,11.49999999,0,22,0,0,0,1,1,0,18.58339024,-47.63761244,-19.74084772,9.950546576,-23.75920058,-13.3590196,-8.050215243,-12.89744709,7.073847067,-8.878198443,0.419201309,-7.232630361,-5.522708377,-3.795772177,1.16841102,-1.258732487,-1.607562479
"Ametrida centurio",158.5000832,155.6897027,148.1011433,267.6818816,110.4120721,314.8675639,116.3931602,186.4708384,169.7777384,169.9045892,156.1589401,"Ametrida centurio","Ametrida centurio","Chiroptera","Phyllostomidae",11.305,0.29,55,29,6025.173,NA,343.884,0.057074544,NA,475.773,111.907,NA,1,1.91,244.586,NA,38.145,NA,2037.805,0.078964206,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,1,0,0,0,1,2100,NA,NA,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735529506,1.360932403,1.602042801,NA,NA,NA,NA,NA,0,0,1,0,1,0,21.58063189,-50.25359517,-10.98034163,12.00242866,-10.58604601,12.40934431,-4.445361685,15.96995432,-1.272409563,10.7838605,-1.923872971,7.769740758,6.346221208,5.017954388,-4.110226269,5.204762772,4.823641729
"Mops condylurus",380.7907015,233.7580029,373.5572879,358.6758424,363.6574745,329.3640495,235.3708767,316.1339907,285.8644464,286.3529321,276.9869246,"Mops condylurus","Mops condylurus","Chiroptera","Molossidae",26.59,0.422,101.823,47.22,3747.588,285.63,285.63,0.076217023,NA,374.27,88.64,NA,1,2,272.133,8.03,49.99,NA,1568.45,0.099869569,0.603986461,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,0,NA,NA,NA,NA,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.141140572,0.733398405,0.89259512,60.75957431,9.099999993,NA,1,NA,NA,NA,NA,NA,0,1,35.01962763,6.811274433,26.88612459,-13.53814343,5.368740656,-18.98613812,-16.51332635,4.234672137,5.031620231,9.322216537,-1.894721703,6.951620418,1.220353086,-0.903752923,2.103764017,-8.598362469,0.709638275
