"","x","y","EBOV","BOMV","BDBV","TAFV","RESTV","SUDV","MARV","RAVV","LLOV","MLAV","DEHV"
"20354",13.5,27.50107421875,0.0330996513366699,0.00743743451312184,0.0089252395555377,0.0209541376680136,0.0689349249005318,0.0186341889202595,0.00696578621864319,0.00728945713490248,0.0149937933310866,0.0476934053003788,0.000947884458582848
"20355",14.5,27.50107421875,0.144240736961365,0.0204637381248176,0.0765701029449701,0.111411739140749,0.285093873739243,0.0959085300564766,0.0376292895525694,0.0399155803024769,0.11718518845737,0.036156177520752,0.0138203207170591
"20356",15.5,27.50107421875,0.0330996513366699,0.00743743451312184,0.0089252395555377,0.0209541376680136,0.0689349249005318,0.0186341889202595,0.00696578621864319,0.00728945713490248,0.0149937933310866,0.0476934053003788,0.000947884458582848
"20357",16.5,27.50107421875,0.0330996513366699,0.00743743451312184,0.0089252395555377,0.0209541376680136,0.0689349249005318,0.0186341889202595,0.00696578621864319,0.00728945713490248,0.0149937933310866,0.0476934053003788,0.000947884458582848
"20358",17.5,27.50107421875,0.0330996513366699,0.00743743451312184,0.0089252395555377,0.0209541376680136,0.0689349249005318,0.0186341889202595,0.00696578621864319,0.00728945713490248,0.0149937933310866,0.0476934053003788,0.000947884458582848
"20359",18.5,27.50107421875,0.0330996513366699,0.00743743451312184,0.0089252395555377,0.0209541376680136,0.0689349249005318,0.0186341889202595,0.00696578621864319,0.00728945713490248,0.0149937933310866,0.0476934053003788,0.000947884458582848
"20360",19.5,27.50107421875,0.0330996513366699,0.00743743451312184,0.0089252395555377,0.0209541376680136,0.0689349249005318,0.0186341889202595,0.00696578621864319,0.00728945713490248,0.0149937933310866,0.0476934053003788,0.000947884458582848
"20361",20.5,27.50107421875,0.0330996513366699,0.00743743451312184,0.0089252395555377,0.0209541376680136,0.0689349249005318,0.0186341889202595,0.00696578621864319,0.00728945713490248,0.0149937933310866,0.0476934053003788,0.000947884458582848
"20362",21.5,27.50107421875,0.0330996513366699,0.00743743451312184,0.0089252395555377,0.0209541376680136,0.0689349249005318,0.0186341889202595,0.00696578621864319,0.00728945713490248,0.0149937933310866,0.0476934053003788,0.000947884458582848
"20363",22.5,27.50107421875,0.0330996513366699,0.00743743451312184,0.0089252395555377,0.0209541376680136,0.0689349249005318,0.0186341889202595,0.00696578621864319,0.00728945713490248,0.0149937933310866,0.0476934053003788,0.000947884458582848
"20364",23.5,27.50107421875,0.0330996513366699,0.00743743451312184,0.0089252395555377,0.0209541376680136,0.0689349249005318,0.0186341889202595,0.00696578621864319,0.00728945713490248,0.0149937933310866,0.0476934053003788,0.000947884458582848
"20365",24.5,27.50107421875,0.0330996513366699,0.00743743451312184,0.0089252395555377,0.0209541376680136,0.0689349249005318,0.0186341889202595,0.00696578621864319,0.00728945713490248,0.0149937933310866,0.0476934053003788,0.000947884458582848
"20366",25.5,27.50107421875,0.0330996513366699,0.00743743451312184,0.0089252395555377,0.0209541376680136,0.0689349249005318,0.0186341889202595,0.00696578621864319,0.00728945713490248,0.0149937933310866,0.0476934053003788,0.000947884458582848
"20367",26.5,27.50107421875,0.0330996513366699,0.00743743451312184,0.0089252395555377,0.0209541376680136,0.0689349249005318,0.0186341889202595,0.00696578621864319,0.00728945713490248,0.0149937933310866,0.0476934053003788,0.000947884458582848
"20368",27.5,27.50107421875,0.0330996513366699,0.00743743451312184,0.0089252395555377,0.0209541376680136,0.0689349249005318,0.0186341889202595,0.00696578621864319,0.00728945713490248,0.0149937933310866,0.0476934053003788,0.000947884458582848
"20369",28.5,27.50107421875,0.137861005961895,0.0390584459528327,0.0543344225734472,0.130658086389303,0.273587569594383,0.111050225794315,0.0598516948521137,0.0602653119713068,0.0803038310259581,0.124250095337629,0.0383970647817478
"20370",29.5,27.50107421875,0.358525089919567,0.152037179097533,0.210750568658113,0.330887019634247,0.691323667764664,0.235568501055241,0.212855383753777,0.215060248970985,0.260618779808283,0.383776567876339,0.202898134943098
"20371",30.5,27.50107421875,2.17308558896184,0.315005135722458,0.862771598622203,2.04286709427834,3.57980682700872,1.5384688321501,0.834199236705899,0.858514863997698,1.74375184625387,0.541157804429531,0.769961845129728
"20372",31.5,27.50107421875,2.17308558896184,0.315005135722458,0.862771598622203,2.04286709427834,3.57980682700872,1.5384688321501,0.834199236705899,0.858514863997698,1.74375184625387,0.541157804429531,0.769961845129728
"20373",32.5,27.50107421875,1.40883351117373,0.20980924833566,0.637741165235639,1.12205436453223,1.87564536370337,0.481216557789594,0.452777788043022,0.463127649389207,0.854229621589184,0.37825208902359,0.488558400422335
"20374",33.5,27.50107421875,0.729756690561771,0.00168061908334494,0.250786948949099,0.515263304114342,0.849709093570709,0.21433746535331,0.143811705522239,0.145304053090513,0.330642536282539,0.281638365238905,0.15591829456389
"20377",36.5,27.50107421875,0.478158179670572,-0.342541352845728,-0.113882507197559,0.215483358129859,0.707878898829222,-0.0253976844251156,-0.24547967966646,-0.233206879347563,0.519411947578192,-0.604226268827915,-0.28991813166067
